1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
MC,MC,MC,MC,C1,MC,C1,C1,C1,MC,C1,C1,C1,MC,MC,MC,MC,C1,MC,MC,C1,MC,C2,MC
C1,MC,MC,C1,C1,MC,C1,MC,MC,MC,C1,MC,MC,C1,MC,MC,C1,C1,C1,C1,C1,C2,C2,C2
MC,C1,C1,C1,MC,MC,C1,C1,MC,C1,C1,C1,C1,C1,C1,C1,C1,MC,MC,MC,MC,MC,C2,MC
C1,C1,MC,MC,C1,C1,C1,MC,MC,C1,MC,MC,MC,MC,MC,MC,MC,C1,MC,MC,MC,MC,C2,MC
C1,MC,C1,C1,C1,MC,MC,C1,C1,C1,C1,MC,MC,MC,MC,MC,C1,C1,C1,MC,C1,C2,C2,C2
MC,MC,C1,MC,MC,C1,C1,C1,MC,MC,MC,C1,MC,MC,MC,C1,C1,MC,MC,MC,C1,MC,C2,MC
C1,C1,C1,C1,C1,C1,MC,MC,C1,MC,C1,C1,C1,MC,C1,C1,MC,C1,MC,C1,C1,MC,C2,MC
MC,MC,MC,MC,MC,MC,C1,C1,C1,MC,C1,MC,MC,MC,C1,MC,MC,C1,MC,C1,MC,C2,C2,C2
MC,MC,MC,MC,MC,C1,C1,MC,MC,MC,C1,C1,MC,C1,C1,C1,C1,C1,MC,C1,C1,MC,C2,MC
C1,MC,MC,MC,C1,C1,MC,C1,MC,C1,C1,MC,MC,C1,MC,MC,MC,MC,MC,C1,MC,MC,C2,MC
C1,Blank_Thumb,Blank_Thumb,Blank_Thumb,Blank_Thumb,Blank_Thumb,Blank_Thumb,Blank_Thumb,Blank_Thumb,Blank_Thumb,MC,C1,C1,C1,C1,MC,MC,MC,C1,C1,MC,C2,C2,C2
C1,MC,MC,C1,MC,C1,C1,C1,MC,C1,C1,C1,MC,MC,MC,C1,MC,C1,C1,MC,MC,MC,C2,MC
C1,C1,C1,C1,MC,C1,MC,MC,MC,C1,MC,MC,C1,MC,C1,C1,MC,C1,MC,C1,C1,MC,C2,MC
MC,MC,MC,MC,MC,C1,C1,MC,C1,C1,C1,C1,C1,MC,C1,MC,MC,C1,MC,C1,MC,C2,C2,C2
MC,MC,MC,MC,C1,C1,MC,MC,C1,MC,MC,MC,MC,MC,C1,C1,C1,C1,MC,C1,C1,MC,C2,MC
C1,MC,MC,C1,C1,MC,C1,C1,C1,C1,MC,MC,MC,C1,C1,MC,MC,MC,MC,C1,MC,MC,C2,MC
C1,C1,C1,C1,MC,MC,C1,MC,MC,MC,C1,MC,C1,C1,MC,C1,MC,MC,C1,C1,MC,C2,C2,C2
C1,MC,MC,MC,C1,C1,C1,C1,MC,C1,C1,MC,C1,MC,MC,C1,C1,C1,C1,MC,MC,MC,C2,MC
C1,C1,MC,C1,C1,MC,MC,MC,MC,C1,MC,MC,C1,C1,C1,C1,MC,MC,MC,C1,C1,MC,C2,MC
MC,MC,MC,C1,MC,C1,MC,MC,C1,C1,C1,C1,C1,MC,MC,MC,C1,MC,C1,C1,MC,C2,C2,C2
MC,MC,C1,C1,MC,C1,C1,C1,C1,MC,MC,MC,MC,C1,MC,C1,C1,MC,C1,MC,C1,MC,C2,MC
C1,C1,C1,MC,MC,C1,MC,MC,MC,C1,MC,MC,C1,C1,MC,C1,MC,MC,C1,MC,C1,MC,C2,MC
MC,MC,MC,C1,C1,C1,C1,MC,C1,C1,C1,C1,C1,MC,MC,C1,C1,C1,C1,MC,C1,C2,C2,C2
C1,MC,C1,C1,MC,MC,MC,MC,C1,MC,MC,MC,MC,C1,C1,C1,MC,MC,MC,MC,C1,MC,C2,MC
MC,MC,C1,MC,C1,MC,MC,C1,C1,C1,MC,MC,C1,C1,MC,MC,C1,MC,MC,C1,C1,MC,C2,MC
C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2
C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1
C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2
C1,C1,C1,C1,C1,Blank,C1,Blank,C1,C1,Blank,Blank,Blank,C1,C1,Blank,C1,Blank,Blank,Blank,C1,Blank,Blank,Blank
C2,MC,C2,C2,MC,C2,C2,MC,C2,C2,C1,C2,C2,C1,C2,C2,C1,C2,C2,C1,C2,C2,MC,C2
Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank
C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1
